,0,1,2,3
0,282718be32f37ff03ed1285a756fa070.jpeg,"[38, 124, 262, 305]",d5eeb639b18761a2ce96b7037585d895_lab,frites
2,239120_2018_04_21_10_12_41_697687.jpg,"[0, 245, 601, 356]",d5eeb639b18761a2ce96b7037585d895_lab,frites
3,239120_2018_04_21_10_12_41_697687.jpg,"[0, 80, 301, 247]",d5eeb639b18761a2ce96b7037585d895_lab,frites
4,243889_2018_04_18_19_13_10_917472.jpg,"[411, 215, 190, 183]",d5eeb639b18761a2ce96b7037585d895_lab,frites
5,243889_2018_04_18_19_13_10_917472.jpg,"[89, 4, 128, 68]",d5eeb639b18761a2ce96b7037585d895_lab,frites
6,fdf6836ec5a77146139918afea935f73.jpeg,"[0, 94, 325, 288]",d5eeb639b18761a2ce96b7037585d895_lab,frites
7,280995_2018_04_17_11_33_56_639468.jpg,"[293, 67, 140, 94]",d5eeb639b18761a2ce96b7037585d895_lab,frites
10,9238cd5a466be6fb2fe325f635d12a56.jpeg,"[74, 130, 247, 312]",d5eeb639b18761a2ce96b7037585d895_lab,frites
21,44fbd16c59f74fbdd6ccc29a4eb51645.jpeg,"[153, 142, 448, 459]",d5eeb639b18761a2ce96b7037585d895_lab,frites
23,d66dce768641cd843b70f5103fb92d87.jpeg,"[97, 90, 283, 246]",d5eeb639b18761a2ce96b7037585d895_lab,frites
26,25f784e638ab19f5f2ae0b96b50ae11e.jpeg,"[140, 62, 461, 444]",d5eeb639b18761a2ce96b7037585d895_lab,frites
27,40851f305f41e0618f6ec0e9e243763d.jpeg,"[17, 14, 509, 585]",d5eeb639b18761a2ce96b7037585d895_lab,frites
28,6d8c8a001a2f7c3ecc20afe35993b072.jpeg,"[255, 372, 186, 229]",d5eeb639b18761a2ce96b7037585d895_lab,frites
29,259641_2018_04_16_18_40_02_360389.jpg,"[0, 0, 575, 292]",d5eeb639b18761a2ce96b7037585d895_lab,frites
30,bb407b8418dccb1929319fbe5fb61278.jpeg,"[28, 40, 412, 392]",d5eeb639b18761a2ce96b7037585d895_lab,frites
31,6c63320018e8c66f4399b391a98277cb.jpeg,"[13, 381, 268, 160]",d5eeb639b18761a2ce96b7037585d895_lab,frites
33,52493b052f30cc4f2bd2cb0ba31a56a8.jpeg,"[0, 258, 358, 277]",d5eeb639b18761a2ce96b7037585d895_lab,frites
34,6cd461e71d2f107536c981f89f5b6295.jpeg,"[354, 192, 220, 380]",d5eeb639b18761a2ce96b7037585d895_lab,frites
37,19330_2017_01_28_18_28_24.jpg,"[256, 241, 280, 285]",d5eeb639b18761a2ce96b7037585d895_lab,frites
